Score,"numberDonors","leastDonated","mostDonated","totalDonated","averageDonated","Number","avgDonation"
10,566,900.00,"5,991,957.00","29,900,252.44","52,827.30","1,563","19,130.04"
9,707,300.00,890.01,"330,266.19",467.14,"1,245",265.27
8,519,200.00,299.00,"119,605.09",230.45,805,148.58
7,314,101.00,197.00,"44,180.47",140.70,539,81.97
6,932,100.00,100.00,"93,200.00",100.00,973,95.79
5,316,51.00,98.90,"21,941.66",69.44,406,54.04
4,968,50.00,50.00,"48,400.00",50.00,995,48.64
3,925,25.00,49.96,"26,465.93",28.61,958,27.63
2,1,24.00,24.00,24.00,24.00,1,24.00
1,387,1.00,22.00,"6,119.57",15.81,397,15.41
