"score","numDonors","dateFirst","dateLast","numDays","totalDonated","avgDaily"
10,564,2021-05-21,2021-12-17,211,"3,283,286.00","15,560.60"
9,567,2020-12-29,2021-05-20,143,"5,187,581.73","36,276.80"
8,572,2020-10-01,2020-12-28,89,"2,268,708.29","25,491.10"
7,554,2020-05-12,2020-09-30,142,"1,296,775.29","9,132.22"
6,565,2019-05-31,2020-05-11,347,"7,078,909.29","20,400.31"
5,562,2018-02-20,2019-05-30,465,"9,037,013.88","19,434.44"
4,565,2015-05-11,2018-02-19,"1,016","2,098,044.24","2,065.00"
3,566,2009-10-09,2015-05-10,"2,040","169,437.19",83.06
2,562,2001-06-20,2009-10-08,"3,033","115,625.56",38.12
1,558,1984-12-10,2001-06-19,"6,036","55,073.88",9.12
